country,location,longitude,latitude,start,end,epiUnit,species,death,cases,animale type,event_id,outbreak_id
Germany,Buchowo,17.171,53.571,1/1/2023,2/5/2023,Backyard,Birds,3,25,domestic,4026,112622
Israel,Krzemieniewo,19.6272763,53.375362,2/11/2023,12/31/1969,Farm,Birds,1347,4765,domestic,4125,114253
Germany,Buchowo,17.171,53.571,1/1/2023,2/5/2023,Backyard,Birds,3,25,domestic,4025,112622
Germany,Krzemieniewo,19.6272763,53.375362,2/11/2023,12/31/1969,Farm,Birds,1347,4765,domestic,4256,114253
Portugal,Krzemieniewo,19.6272763,53.375362,2/11/2023,12/31/1969,Farm,Birds,1347,4765,domestic,4216,114253
Netherlands,Krzemieniewo,19.6272763,53.375362,2/11/2023,12/31/1969,Farm,Birds,1347,4765,domestic,4051,114253
Chile,Buchowo,17.17,53.57,1/1/2023,2/5/2023,Backyard,Birds,56,59,domestic,4775,112621
Germany,Krzemieniewo,19.6272763,53.375362,2/11/2023,12/31/1969,Farm,Birds,1347,4765,domestic,4279,114253
Germany,Buchowo,17.17,53.57,1/1/2023,2/5/2023,Backyard,Birds,56,59,domestic,4131,112621
Canada,Krzemieniewo,19.6272763,53.375362,2/11/2023,12/31/1969,Farm,Birds,1347,4765,domestic,4438,114253
Serbia,Buchowo,17.17,53.57,1/1/2023,2/5/2023,Backyard,Birds,56,59,domestic,4034,112621
Russia,Krzemieniewo,19.6272763,53.375362,2/11/2023,12/31/1969,Farm,Birds,1347,4765,domestic,3939,114253
Switzerland,Krzemieniewo,19.6272763,53.375362,2/11/2023,12/31/1969,Farm,Birds,1347,4765,domestic,4108,114253
Panama,Tereszewo,19.501287,53.39231,2/8/2023,12/31/1969,Farm,Birds,76,15842,domestic,4789,114252
South Africa,Mroczenko,19.6762051,53.3733212,2/7/2023,12/31/1969,Farm,Birds,810,16140,domestic,3733,114251
Sweden,Krzemieniewo,19.6272763,53.375362,2/11/2023,12/31/1969,Farm,Birds,1347,4765,domestic,4048,114253
Estonia,Krzemieniewo,19.6272763,53.375362,2/11/2023,12/31/1969,Farm,Birds,1347,4765,domestic,3756,114253
Cyprus,Krzemieniewo,19.6272763,53.375362,2/11/2023,12/31/1969,Farm,Birds,1347,4765,domestic,4768,114253
Greece,Buchowo,17.171,53.571,1/1/2023,2/5/2023,Backyard,Birds,3,25,domestic,4165,112622
Nigeria,Krzemieniewo,19.6272763,53.375362,2/11/2023,12/31/1969,Farm,Birds,1347,4765,domestic,4674,114253
Romania,Krzemieniewo,19.6272763,53.375362,2/11/2023,12/31/1969,Farm,Birds,1347,4765,domestic,4076,114253
United States of America,Krzemieniewo,19.6272763,53.375362,2/11/2023,12/31/1969,Farm,Birds,1347,4765,domestic,4247,114253
France,Tereszewo,19.501287,53.39231,2/8/2023,12/31/1969,Farm,Birds,76,15842,domestic,4184,114252
Italy,Buchowo,17.171,53.571,1/1/2023,2/5/2023,Backyard,Birds,3,25,domestic,4640,112622
Colombia,Krzemieniewo,19.6272763,53.375362,2/11/2023,12/31/1969,Farm,Birds,1347,4765,domestic,4668,114253
Bulgaria,Tereszewo,19.501287,53.39231,2/8/2023,12/31/1969,Farm,Birds,76,15842,domestic,1696,114252
Germany,Buchowo,17.171,53.571,1/1/2023,2/5/2023,Backyard,Birds,3,25,domestic,3684,112622
Finland,Krzemieniewo,19.6272763,53.375362,2/11/2023,12/31/1969,Farm,Birds,1347,4765,domestic,3723,114253
Germany,Buchowo,17.171,53.571,1/1/2023,2/5/2023,Backyard,Birds,3,25,domestic,3498,112622
Hungary,Buchowo,17.19,53.58,12/22/2022,2/2/2023,Farm,Birds,9500,9500,domestic,4070,111067
China (People's Rep. of),Krzemieniewo,19.6272763,53.375362,2/11/2023,12/31/1969,Farm,Birds,1347,4765,domestic,1626,114253
Cuba,Buchowo,17.171,53.571,1/1/2023,2/5/2023,Backyard,Birds,3,25,domestic,4895,112622
Germany,Buchowo,17.171,53.571,1/1/2023,2/5/2023,Backyard,Birds,3,25,domestic,4127,112622
United Kingdom,Buchowo,17.171,53.571,1/1/2023,2/5/2023,Backyard,Birds,3,25,domestic,4030,112622
Belgium,Buchowo,17.171,53.571,1/1/2023,2/5/2023,Backyard,Birds,3,25,domestic,4073,112622
Mexico,Krzemieniewo,19.6272763,53.375362,2/11/2023,12/31/1969,Farm,Birds,1347,4765,domestic,4675,114253
Ireland,Krzemieniewo,19.6272763,53.375362,2/11/2023,12/31/1969,Farm,Birds,1347,4765,domestic,4049,114253
Switzerland,Buchowo,17.17,53.57,1/1/2023,2/5/2023,Backyard,Birds,56,59,domestic,4733,112621
India,Krzemieniewo,19.6272763,53.375362,2/11/2023,12/31/1969,Farm,Birds,1347,4765,domestic,3211,114253
Czech Republic,Buchowo,17.171,53.571,1/1/2023,2/5/2023,Backyard,Birds,3,25,domestic,4052,112622
Austria,Mroczenko,19.6762051,53.3733212,2/7/2023,12/31/1969,Farm,Birds,810,16140,domestic,4105,114251
United Kingdom,Krzemieniewo,19.6272763,53.375362,2/11/2023,12/31/1969,Farm,Birds,1347,4765,domestic,4528,114253
Ireland,Tereszewo,19.501287,53.39231,2/8/2023,12/31/1969,Farm,Birds,76,15842,domestic,4735,114252
Germany,Krzemieniewo,19.6272763,53.375362,2/11/2023,12/31/1969,Farm,Birds,1347,4765,domestic,4023,114253
Italy,Tereszewo,19.501287,53.39231,2/8/2023,12/31/1969,Farm,Birds,76,15842,domestic,3447,114252
Sweden,Krzemieniewo,19.6272763,53.375362,2/11/2023,12/31/1969,Farm,Birds,1347,4765,domestic,4681,114253
Hungary,Tereszewo,19.501287,53.39231,2/8/2023,12/31/1969,Farm,Birds,76,15842,domestic,4107,114252
Finland,Mroczenko,19.6762051,53.3733212,2/7/2023,12/31/1969,Farm,Birds,810,16140,domestic,4243,114251
Germany,Tereszewo,19.501287,53.39231,2/8/2023,12/31/1969,Farm,Birds,76,15842,domestic,4128,114252
Russia,Mroczenko,19.6762051,53.3733212,2/7/2023,12/31/1969,Farm,Birds,810,16140,domestic,1766,114251
