country,location,longitude,latitude,start,end,epiUnit,species,death,cases,animale type,event_id,outbreak_id
Cuba,Jardín zoológico de La Habana,-82.3972,23.1108,2/3/2023,12/31/1969,Zoo,Mallard;Indian Peafowl;Common Guineafowl;Ostrich;Eurasian Sparrowhawk;Greater Flamingo;Andean Condor,4,4,wild,4895,113772
Cuba,Jardín zoológico de La Habana,-82.3972,23.1108,2/3/2023,12/31/1969,Zoo,Mallard;Common Guineafowl;Greater Flamingo;Eurasian Sparrowhawk;Andean Condor;Ostrich;Indian Peafowl,4,4,wild,4895,113772
Cuba,Jardín zoológico de La Habana,-82.3972,23.1108,2/3/2023,12/31/1969,Zoo,Eurasian Sparrowhawk;Mallard;Common Guineafowl;Greater Flamingo;Indian Peafowl;Andean Condor;Ostrich,4,4,wild,4895,113772
Cuba,Jardín zoológico de La Habana,-82.3972,23.1108,2/3/2023,12/31/1969,Zoo,Eurasian Sparrowhawk;Mallard;Greater Flamingo;Indian Peafowl;Andean Condor;Ostrich;Common Guineafowl,4,4,wild,4895,113772
Cuba,Jardín zoológico de La Habana,-82.3972,23.1108,2/3/2023,12/31/1969,Zoo,Eurasian Sparrowhawk;Indian Peafowl;Mallard;Greater Flamingo;Common Guineafowl;Andean Condor;Ostrich,4,4,wild,4895,113772
Cuba,Jardín zoológico de La Habana,-82.3972,23.1108,2/3/2023,12/31/1969,Zoo,Mallard;Eurasian Sparrowhawk;Greater Flamingo;Common Guineafowl;Andean Condor;Indian Peafowl;Ostrich,4,4,wild,4895,113772
Cuba,Jardín zoológico de La Habana,-82.3972,23.1108,2/3/2023,12/31/1969,Zoo,Mallard;Eurasian Sparrowhawk;Common Guineafowl;Greater Flamingo;Indian Peafowl;Ostrich;Andean Condor,4,4,wild,4895,113772
Faeroe Islands,Havnardalur,-6.7979,61.9978,10/2/2022,11/24/2022,Backyard,Birds,28,0,domestic,4512,107598
Faeroe Islands,Skúvoy,-6.8252,61.7661,5/8/2022,5/8/2022,Other,Great black-backed Gull;Great Skua,7,7,wild,4512,104498
Faeroe Islands,Sørvágur,-7.3044,62.0704,5/8/2022,5/8/2022,Other,Great Skua,0,1,wild,4512,104499
Faeroe Islands,Velbastaður,-6.8541,61.9826,5/20/2022,5/20/2022,Other,Great Skua,0,1,wild,4512,104624
Faeroe Islands,Hvítanes,-6.7715,62.0448,6/17/2022,6/17/2022,Other,Northern Gannet,1,1,wild,4512,104625
Faeroe Islands,Borðoyarvík,-6.5711,62.2244,9/19/2022,9/19/2022,Other,Northern fulmar,5,5,wild,4512,107588
Faeroe Islands,Tórugøta,-6.7929,62.0308,9/17/2022,9/17/2022,Other,Common Raven,1,1,wild,4512,107590
Faeroe Islands,Nólsoy,-6.6721,62.0089,6/14/2022,6/14/2022,Other,Rock Pigeon (Rock Dove),1,1,wild,4512,107594
Faeroe Islands,Nólsoy,-6.6726,62.0093,9/18/2022,9/18/2022,Other,Rock Pigeon (Rock Dove),1,1,wild,4512,107595
Faeroe Islands,Skúgvoy,-6.8238,61.7652,7/21/2022,7/21/2022,Other,Arctic Jaeger,1,1,wild,4512,107596
